id,regionLevel,regionLevel1,regionLevel2,regionLevel3,regionType,locationName,altLocationName,latitude,longitude,fips
1,1,Bahamas,,,country,Bahamas,,-77.3963,25.0343,
2,1,Germany,,,country,Germany,,9,51,
3,1,Estonia,,,country,Estonia,,25.0136,58.5953,
4,1,Madagascar,,,country,Madagascar,,46.8691,-18.7669,
5,1,Lebanon,,,country,Lebanon,,35.8623,33.8547,
6,2,Australia,Western Australia,,province,"Western Australia, Australia",,115.8605,-31.9505,
7,3,US,Georgia,Glynn,county,"Glynn, Georgia, US",,-81.53811412,31.23279254,13127
8,3,US,Michigan,Roscommon,county,"Roscommon, Michigan, US",,-84.61067651,44.33473082,26143
9,3,US,Alabama,Lauderdale,county,"Lauderdale, Alabama, US",,-87.65624729,34.90171875,1077
10,3,US,Vermont,Unassigned,county,"Unassigned, Vermont, US",,0,0,
11,3,US,Virginia,Montgomery,county,"Montgomery, Virginia, US",,-80.37868691,37.17746986,51121
12,3,US,California,Trinity,county,"Trinity, California, US",,-123.114713,40.6491767,6105
13,3,US,Nebraska,Thayer,county,"Thayer, Nebraska, US",,-97.59504381,40.17626377,31169
14,3,US,Rhode Island,Washington,county,"Washington, Rhode Island, US",,-71.61435303,41.45961631,44009
15,3,US,Texas,Fayette,county,"Fayette, Texas, US",,-96.92076062,29.87788372,48149
16,3,US,Michigan,Cass,county,"Cass, Michigan, US",,-85.99405727,41.91522292,26027
17,1,Eritrea,,,country,Eritrea,,39.7823,15.1794,
18,3,US,Virginia,Frederick,county,"Frederick, Virginia, US",,-78.25974949,39.20172582,51069
19,3,US,Wyoming,Niobrara,county,"Niobrara, Wyoming, US",,-104.4758896,43.05607708,56027
20,3,US,Georgia,Hancock,county,"Hancock, Georgia, US",,-82.99766919,33.2721566,13141
21,3,US,Florida,Brevard,county,"Brevard, Florida, US",,-80.73091022,28.29409504,12009
22,3,US,Montana,Jefferson,county,"Jefferson, Montana, US",,-112.094396,46.14907081,30043
23,3,US,California,Sacramento,county,"Sacramento, California, US",,-121.3425374,38.45106826,6067
24,3,US,Indiana,Steuben,county,"Steuben, Indiana, US",,-85.00101094,41.64423868,18151
25,3,US,Tennessee,Van Buren,county,"Van Buren, Tennessee, US",,-85.45221699,35.69864497,47175
26,3,US,Virginia,Russell,county,"Russell, Virginia, US",,-82.10095486,36.9302832,51167
27,3,US,Iowa,Sac,county,"Sac, Iowa, US",,-95.10547892,42.38624071,19161
28,1,Burkina Faso,,,country,Burkina Faso,,-1.5616,12.2383,
29,3,US,Texas,Cass,county,"Cass, Texas, US",,-94.34646905,33.07499881,48067
